Rank,Title,Year,Rating,Runtime,Genre,User Rating,Metacritic
1,The Tomorrow War,2021,PG-13,140 min,"Action, Adventure, Sci-Fi",6.7,45
2,A Quiet Place Part II,2020,PG-13,97 min,"Drama, Horror, Sci-Fi",7.5,71
3,Black Widow,2021,PG-13,133 min,"Action, Adventure, Sci-Fi",7.4,67
4,The Suicide Squad,2021,R, ,"Action, Adventure, Comedy", ,
5,Shang-Chi and the Legend of the Ten Rings,2021, , ,"Action, Adventure, Fantasy", ,
6,America: The Motion Picture,2021,TV-MA,98 min,"Animation, Action, Adventure",5.7,40
7,A Quiet Place,2018,PG-13,90 min,"Drama, Horror, Sci-Fi",7.5,82
8,Infinite,2021,PG-13,106 min,"Action, Sci-Fi, Thriller",5.4,28
9,Tenet,2020,PG-13,150 min,"Action, Sci-Fi, Thriller",7.4,69
10,Army of the Dead,2021,R,148 min,"Action, Crime, Horror",5.8,57
11,Godzilla vs. Kong,2021,PG-13,113 min,"Action, Sci-Fi, Thriller",6.4,59
12,Spider-Man: No Way Home,2021, , ,"Action, Adventure, Sci-Fi", ,
13,Space Jam: A New Legacy,2021,PG,120 min,"Animation, Adventure, Comedy", ,
14,Dune,2021,PG-13, ,"Adventure, Drama, Sci-Fi", ,
15,Zack Snyder's Justice League,2021,R,242 min,"Action, Adventure, Fantasy",8.1,54
16,Avengers: Endgame,2019,PG-13,181 min,"Action, Adventure, Drama",8.4,78
17,Jurassic World: Dominion,2022, , ,"Action, Adventure, Sci-Fi", ,
18,Mortal Kombat,2021,R,110 min,"Action, Adventure, Fantasy",6.2,44
19,Thor: Ragnarok,2017,PG-13,130 min,"Action, Adventure, Comedy",7.9,74
20,Awake,III 2021,TV-MA,96 min,"Action, Adventure, Drama",4.8,35
21,Snake Eyes,2021,PG-13,121 min,"Action, Adventure, Fantasy", ,
22,The Mitchells vs the Machines,2021,PG,113 min,"Animation, Adventure, Comedy",7.7,80
23,The Dead Don't Die,2019,R,104 min,"Comedy, Fantasy, Horror",5.5,53
24,Interstellar,2014,PG-13,169 min,"Adventure, Drama, Sci-Fi",8.6,74
25,Guardians of the Galaxy,2014,PG-13,121 min,"Action, Adventure, Comedy",8.0,76
26,Captain Marvel,2019,PG-13,123 min,"Action, Adventure, Sci-Fi",6.8,64
27,Independence Day,1996,PG-13,145 min,"Action, Adventure, Sci-Fi",7.0,59
28,Eternals,2021, , ,"Action, Adventure, Drama", ,
29,Inception,2010,PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,74
30,The Matrix,1999,R,136 min,"Action, Sci-Fi",8.7,73
31,Alien,1979,R,117 min,"Horror, Sci-Fi",8.4,89
32,Aquaman,2018,PG-13,143 min,"Action, Adventure, Fantasy",6.9,55
33,Chaos Walking,2021,PG-13,109 min,"Action, Adventure, Fantasy",5.7,38
34,Back to the Future,1985,PG,116 min,"Adventure, Comedy, Sci-Fi",8.5,87
35,Voyagers,2021,PG-13,108 min,"Adventure, Sci-Fi, Thriller",5.4,44
36,Transformers: Rise of the Beasts,2022, , ,"Action, Adventure, Sci-Fi", ,
37,Time Walker,1982,PG,83 min,"Horror, Sci-Fi",3.5,
38,Avengers: Infinity War,2018,PG-13,149 min,"Action, Adventure, Sci-Fi",8.4,68
39,Suicide Squad,2016,PG-13,123 min,"Action, Adventure, Fantasy",5.9,40
40,The New Mutants,2020,PG-13,94 min,"Action, Horror, Mystery",5.3,43
41,The Matrix 4,2021, , ,"Action, Sci-Fi", ,
42,Blade Runner 2049,2017,R,164 min,"Action, Drama, Mystery",8.0,81
43,Jurassic Park,1993,PG-13,127 min,"Action, Adventure, Sci-Fi",8.1,68
44,Love and Monsters,I 2020,PG-13,109 min,"Action, Adventure, Comedy",7.0,63
45,Escape Room: Tournament of Champions,2021,PG-13,88 min,"Action, Adventure, Horror",6.4,
46,Free Guy,2021,PG-13,115 min,"Action, Comedy, Sci-Fi", ,
47,Bill & Ted Face the Music,2020,PG-13,91 min,"Adventure, Comedy, Music",6.0,65
48,Spider-Man: Far from Home,2019,PG-13,129 min,"Action, Adventure, Sci-Fi",7.5,69
49,The Hunger Games,2012,PG-13,142 min,"Action, Adventure, Sci-Fi",7.2,68
50,Take Shelter,2011,R,120 min,"Drama, Sci-Fi, Thriller",7.4,85
51,Aliens,1986,R,137 min,"Action, Adventure, Sci-Fi",8.3,84
52,The Purge,I 2013,R,85 min,"Horror, Sci-Fi, Thriller",5.7,41
53,Mad Max: Fury Road,2015,R,120 min,"Action, Adventure, Sci-Fi",8.1,90
54,Men in Black: International,2019,PG-13,114 min,"Action, Adventure, Comedy",5.6,38
55,Escape Room,I 2019,PG-13,99 min,"Action, Adventure, Horror",6.4,48
56,Gemini Man,2019,PG-13,117 min,"Action, Drama, Sci-Fi",5.7,38
57,Black Panther,2018,PG-13,134 min,"Action, Adventure, Sci-Fi",7.3,88
58,Boss Level,2021,TV-MA,94 min,"Action, Mystery, Sci-Fi",6.9,56
59,Doctor Strange in the Multiverse of Madness,2022, , ,"Action, Adventure, Fantasy", ,
60,Venom: Let There Be Carnage,2021, , ,"Action, Sci-Fi, Thriller", ,
61,The Avengers,2012,PG-13,143 min,"Action, Adventure, Sci-Fi",8.0,69
62,Avatar,2009,PG-13,162 min,"Action, Adventure, Fantasy",7.8,83
63,Deadpool,2016,R,108 min,"Action, Adventure, Comedy",8.0,65
64,Terminator 2: Judgment Day,1991,R,137 min,"Action, Sci-Fi",8.5,75
65,Godzilla: King of the Monsters,2019,PG-13,132 min,"Action, Adventure, Fantasy",6.0,48
66,Skylines,2020,R,113 min,"Action, Adventure, Sci-Fi",4.7,46
67,Spider-Man: Into the Spider-Verse,2018,PG,117 min,"Animation, Action, Adventure",8.4,87
68,Dune,1984,PG-13,137 min,"Action, Adventure, Sci-Fi",6.5,39
69,The Prestige,2006,PG-13,130 min,"Drama, Mystery, Sci-Fi",8.5,66
70,Avengers: Age of Ultron,2015,PG-13,141 min,"Action, Adventure, Sci-Fi",7.3,66
71,Spider-Man: Homecoming,2017,PG-13,133 min,"Action, Adventure, Sci-Fi",7.4,73
72,Spider-Man,2002,PG-13,121 min,"Action, Adventure, Sci-Fi",7.3,73
73,Captain America: The First Avenger,2011,PG-13,124 min,"Action, Adventure, Sci-Fi",6.9,66
74,Guardians of the Galaxy Vol. 2,2017,PG-13,136 min,"Action, Adventure, Comedy",7.6,67
75,Arrival,II 2016,PG-13,116 min,"Drama, Sci-Fi",7.9,81
76,Ant-Man,2015,PG-13,117 min,"Action, Adventure, Comedy",7.3,64
77,Iron Man,2008,PG-13,126 min,"Action, Adventure, Sci-Fi",7.9,79
78,Space Jam,1996,PG,88 min,"Animation, Adventure, Comedy",6.4,59
79,Resident Evil: Welcome to Raccoon City,2021, , ,"Action, Horror, Mystery", ,
80,Wonder Woman,2017,PG-13,141 min,"Action, Adventure, Fantasy",7.4,76
81,Star Wars: The Rise Of Skywalker,2019,PG-13,141 min,"Action, Adventure, Fantasy",6.5,53
82,Edge of Tomorrow,2014,PG-13,113 min,"Action, Adventure, Sci-Fi",7.9,71
83,Bumblebee,I 2018,PG-13,114 min,"Action, Adventure, Sci-Fi",6.8,66
84,Deadpool 2,2018,R,119 min,"Action, Adventure, Comedy",7.7,66
85,Watchmen,2009,R,162 min,"Action, Drama, Mystery",7.6,56
86,Ghostbusters,1984,PG,105 min,"Action, Comedy, Fantasy",7.8,71
87,Ex Machina,2014,R,108 min,"Drama, Sci-Fi, Thriller",7.7,78
88,Ready Player One,2018,PG-13,140 min,"Action, Adventure, Sci-Fi",7.4,64
89,Blade Runner,1982,R,117 min,"Action, Sci-Fi, Thriller",8.1,84
